$, Claw;OnCreativity (2012)  [Himself]
Aaker, Lee;"A Lion Is in the Streets (1953)  (uncredited)  [Johnny Briscoe] Arena (1953)  [Teddy Hutchins]  <7> Benjy (1951)  [Benjy] Black Tuesday (1954)  (uncredited)  [Little Boy] Bye Bye Birdie (1963)  [Student leader]  <25> Desperate Search (1952)  [Don Heldon]  <6> Destry (1954)  [Eli Skinner]  <13> Full House (1952)  [J.B. Dorset aka Red Chief (segment ""The Ransom of Red Chief"")]  <14> Hans Christian Andersen (1952)  (uncredited)  [Little Boy] Her Twelve Men (1954)  (uncredited)  [Michael Elliott] High Noon (1952)  (uncredited)  [Boy] Hondo (1953)  [Johnny Lowe]  <9> Jeopardy (1953)  [Bobby Stilwin]  <4> Mister Scoutmaster (1953)  [Arthur]  <11> My Son John (1952)  (scenes deleted)  [Boy] No Room for the Groom (1952)  [Donovan]  <8> Ricochet Romance (1954)  [Timmy Williams]  <10> Ride Clear of Diablo (1954)  (uncredited)  [Boy] Rin-Tin-Tin: Hero of the West (1991) (V)  (archive footage) Something to Live For (1952)  (uncredited)  [Alternate Boy] Take Me to Town (1953)  [Corney Hall]  <5> The Atomic City (1952)  [Tommy Addison]  <5> The Challenge of Rin Tin Tin (1958)  [Rusty] The Greatest Show on Earth (1952)  (uncredited)  [Little Boy Spectator] The Raid (1954)  (uncredited)  [Larry's Friend] Disneyland (1954) {Moochie of the Little League: A Diamond Is a Boy's Best Friend (#6.1)}  [Chuck Taylor]  <9> Disneyland (1954) {Moochie of the Little League: Wrong Way Moochie (#6.2)}  [Chuck Taylor]  <9> Disneyland (1954) {The Mooncussers: Graveyard of Ships (#9.10)}  [Willy] Disneyland (1954) {The Mooncussers: Wake of Disaster (#9.11)}  [Willy] Ethel Barrymore Theater (1956) {Mimsel's Man (#1.8)} Fantastic Studios, Inc. (1949)  [(1949)] Fireside Theatre (1949) {The Boy Down the Road (#6.15)}  [Sandy] General Electric Theater (1953) {Wild Luke's Boy (#2.20)}  [Tim Kelly] Letter to Loretta (1953) {Kid Stuff (#1.8)}  [Myron Carrington]  <3> Letter to Loretta (1953) {The Refinement of 'Ab' (#2.21)}  [Jimmy Preston] Make Room for Daddy (1953) {Rusty Meets Little Lord Fauntleroy (#7.32)}  [Charles Crane]  <6> Rescue 8 (1958) {Runaway (#2.10)}  [Billy] Route 66 (1960) {Only by Cunning Glimpses (#3.12)}  (uncredited)  [Tony] Sandy Dreams (1949)  [(1949)] Schlitz Playhouse of Stars (1951) {Pearl-Handled Guns (#3.20)} Screen Directors Playhouse (1955) {The Brush Roper (#1.8)}  [Cowhide]  <2> Tales of the 77th Bengal Lancers (1956) {The Glass Necklace (#1.23)}  [Govinda]  <4> Tallahassee 7000 (1961) {The Crossroads (#1.15)}  [Eddie Forsyth]  <2> The Adventures of Rin Tin Tin (1954) {A Look of Eagles (#4.4)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Along Came Tubbs (#3.36)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Apache Stampede (#5.24)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Attack on Fort Apache (#2.31)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Bitter Bounty (#4.21)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Bitter Medicine (#3.32)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Blood Brothers (#1.12)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Boone's Commission (#3.27)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Boone's Grandpappy (#3.9)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Boone's Wedding Day (#2.11)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Border Incident (#4.23)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Boundary Busters (#4.13)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Bounty Hunters (#1.31)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Brave Bow (#4.26)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Circle of Fire (#2.35)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Connecticut Yankees (#2.9)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Corporal Carson (#3.33)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Deadman's Valley (#5.8)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Decision of Rin Tin Tin (#5.3)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Escape to Danger (#5.2)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Farewell to Fort Apache (#1.32)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Fort Adventure (#3.13)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Forward Ho (#3.1)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Frontier Angel (#4.10)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Grandpappy's Love Affair (#5.9)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Higgins Rides Again (#2.10)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Higgins' Last Stand (#3.16)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Homer the Great (#2.32)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Hostage of War Bonnet (#4.7)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Hubert Goes West (#2.36)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Hubert's Niece (#3.34)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Indian Blood (#3.29)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Lost Patrol (#2.13)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Lost Treasure (#2.37)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Major Mockingbird (#5.17)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Major Swanson's Choice (#3.37)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Meet Rin Tin Tin (#1.1)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Miracle of the Mission (#5.12)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Mother O'Hara's Marriage (#4.6)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {O'Hara Gets Amnesia (#3.35)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {O'Hara Gets Busted (#1.30)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {O'Hara Gets Culture (#3.25)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {O'Hara's Gold (#3.24)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Ol' Betsy (#5.15)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Pillajohn's Progress (#5.22)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Presidental Citation (#3.11)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Pritikin's Predicament (#4.18)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Racing Rails (#3.15)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Return of Rin Tin Tin (#3.8)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Return of the Chief (#3.4)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Return to Fort Apache (#4.1)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Ancient Mariner (#1.10)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Apache Chief (#1.7)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Christmas Story (#2.16)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Flaming Forest (#1.3)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Gold Bullion (#1.13)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Medicine Man (#1.17)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Printer's Devil (#1.27)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Raging River (#1.4)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Rainmaker (#2.29)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Raw Recruit (#1.11)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Sacred Lance (#1.14)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Second Chance (#2.38)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin and the Shifting Sands (#1.15)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin Meets Mister President (#2.7)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin Meets O'Hara's Mother (#2.23)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin Meets Shakespeare (#2.2)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rin Tin Tin, Outlaw (#1.8)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rinty Finds a Bone (#2.33)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {River Chase (#4.14)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rodeo Clown (#4.8)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Royal Recruit (#5.20)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Running Horse (#5.6)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty Gets Busted (#3.23)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty Goes to Town (#2.12)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty Meets Mr. Nobody (#2.34)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty Plays Cupid (#1.16)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty Resigns from the Army (#1.20)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty Surrenders (#2.28)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty Volunteers (#2.4)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty's Bank Account (#2.22)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty's Mystery (#2.26)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty's Opportunity (#5.5)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty's Remedy (#4.19)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty's Reward (#4.3)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty's Romance (#2.19)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Rusty's Strategy (#4.9)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Scotchman's Gold (#2.30)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Sorrowful Joe (#3.3)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Sorrowful Joe Returns (#3.20)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Sorrowful Joe's Policy (#4.22)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Spanish Gold (#4.20)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Stagecoach Sally (#3.31)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Stagecoach to Phoenix (#5.16)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Star of India (#5.13)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Swedish Cook (#3.22)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Accusation (#5.19)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Babe in the Woods (#1.18)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Bandit Kingdom (#1.26)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Barber of Seville (#1.22)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Best Policy (#5.11)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Big Top (#2.21)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Blushing Brides (#1.23)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Bugle Call (#2.1)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Burial Ground (#2.17)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Cloudbusters (#5.7)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Courtship of Marshal Higgins (#4.2)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Dead Man's Gold (#1.28)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Devil Rides Point (#5.21)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Eagle's Nest (#1.19)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Education of Corporal Rusty (#1.6)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Epidemic (#5.10)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Failing Light (#2.25)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Failure (#5.26)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Foot Soldier (#5.4)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Frame-Up (#3.26)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The General's Daughter (#5.1)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Gentle Kingdom (#3.38)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Ghost Town (#1.29)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Guilty One (#1.24)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Hunted (#4.11)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Indian Hater (#3.17)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Invaders (#3.14)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Iron Horse (#2.8)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Killer Cat (#1.5)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Last Chance (#2.15)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Last Navajo (#4.5)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Legacy of Sean O'Hara (#1.21)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Lieutenant's Lesson (#3.21)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Lonesome Road (#1.34)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Lost Puppy (#3.10)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Lost Scotchman (#1.33)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Luck of O'Hara (#5.25)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Magic Box (#1.25)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Matador (#5.18)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Ming Vase (#5.23)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Misfit Marshal (#5.14)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Missing Heir (#2.18)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The New C.O. (#4.17)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Old Man of the Mountain (#3.40)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Old Soldier (#3.30)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Outcast of Fort Apache (#1.9)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Poor Little Rich Boy (#2.5)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Return of the Ancient Mariner (#2.24)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Secret Weapon (#4.25)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Silent Battle (#3.5)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Silent Witness (#3.28)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Southern Colonel (#3.18)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Star Witness (#2.14)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Swapper (#3.39)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Third Rider (#2.27)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Tin Soldier (#2.20)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Warrior's Promise (#3.19)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The White Buffalo (#2.6)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The White Chief (#4.12)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The White Wolf (#3.7)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {The Wild Stallion (#2.3)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Tomahawk Tubbs (#4.16)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Top Gun (#4.15)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Wagon Train (#3.12)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Wind-Wagon McClanahan (#4.24)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Witch of the Woods (#3.2)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Wolf Cry (#1.2)}  [Cpl. Rusty]  <1> The Adventures of Rin Tin Tin (1954) {Yo-o Rinty (#3.6)}  [Cpl. Rusty]  <1> The Donna Reed Show (1958) {That's Show Business (#2.1)}  [Kenny]  <6> The Donna Reed Show (1958) {The Electrical Storm (#4.9)}  [Walter the Wizard]  <5> The Ford Television Theatre (1952) {All's Fair in Love (#1.22)} The Ford Television Theatre (1952) {And Suddenly, You Knew (#2.11)}  [Joey] The Ford Television Theatre (1952) {For Value Received (#2.21)}  [Tony Evans] The George Burns and Gracie Allen Show (1950) {Dolores De Marco, George's Ex-Vaudeville Partner (#4.29)}  [Harold]  <11> The Lone Ranger (1949) {The School Story (#4.20)}  [Tommy Righter]  <3> The Lucy Show (1962) {Lucy and the Military Academy (#2.10)}  [Cadet Blake]  <8> The Millionaire (1955) {Millionaire Henry Banning (#5.28)}  [Tommy Spencer]  <2> The Red Skelton Show (1951) {Cauliflower and the Kidnappers (#8.15)}  [Wilbur Van Owen] The Tennessee Ernie Ford Show (1956) {(#1.11)}  [Himself] The Tennessee Ernie Ford Show (1956) {(#2.12)}  [Himself] Your Jeweler's Showcase (1952) {Teacher of the Year (#1.4)}"
Aaker, Scott;In the Dark (2015/VII)  [The Creature (segment: The Keeper)] The Keeper (2012)
Aakeson, Kim Fupz;Bag om filmen 'Mirakel' (2001) (V)  [Himself / Script] Bodilprisen 2003 (2003) (TV)  [Himself (special award recipient)] Pigerne bag 'Forbrydelser' (2004) (TV)  (as Kim Fupz)  [Himself - Screenwriter]  <4> Se til venstre, der er en svensker (2003)  [Patient] Aftenshowet (2007) {(2014-10-16)}  [Himself]  <7> Viva (2001) {(#4.1)}  [Himself]
Aakil-Bey, Zero;Myth of the Warrior (2008)  [Himself]
Aakjær, Michael;Klovn (2005) {Bornholm (#4.4)}  [Ebbe's father]
Aakjær, Niels;...Og det var forår - og Danmark frit (1995) (TV)  [Himself - Nexø, Five years old on May 5, 1945]  <6>
Aakjær, Peter;Viden om (1999) {Stormen (#1.14)}  [Himself - DMI Head of Weather Service]  <4>
Aakko, Matti;Dostojevskin galleria (1983) (TV)  [Kapakoitsija] Joulupukkien maa (1999) (TV)  [Joulupukki]
Aakkula, Jarkko;Seitsemän veljeksen lapsuus (1972) (TV)
Aal, Ali Abdel;Ghafir el darak (1937)
Aal, Amir;Suspicion (2015)  [Martin]
Aal, Jim;5 Seasons (2015)  [Karl]
Aal, Kareem;Triumph67 (2010)  [Sami Aziz]
Aal-Rassadnikov, Anton;Do svidaniya mama (2014)
Aala, Muhamed;Ystävät, toverit (1990)  [Cabral]  <20>
Aala, Ramdane;The Gospel of John (2014)  (uncredited)  [Caiaphas] The Gospel of Luke (2015)  [Caiaphas] The Gospel of Mark (2015)  [Caiaphas] The Gospel of Matthew (2014)  [Caiaphas]
Aalam, Bijan;Alien Fans (2010)  [Himself] H.R. Giger Revealed (2010) (V)
Aalam, Steve;(Sökarna) Återkomsten (2006) (V) 30:e november (1995)  [Nabil]  <9> 9 millimeter (1997)  (as Abou-Bakre Aalam)  [Rico]  <3> Blodsbröder (2005)  [Police officer]  <11> Dödsdoktorn (2002)  (as Abou-Bakre Aalam)  [Jonas Teorén]  <1> Gangster (2007)  [Romello]  <16> It's All About Love (2003)  (uncredited)  [Managers Assistant] Mellan himmel och hästben (2001)  [Carlos]  <6> Münsters fall (2005) (V)  [Chad]  <19> Rånarna (2003)  [Tommy]  <7> Aspiranterna (1998) {Många äro kallade (#1.1)}  (as Steve Abou-Bakre Aalam)  [Cred]  <19> Aspiranterna (1998) {Passion och samvete (#1.6)}  (as Steve Abou-Bakre Aalam)  [Cred]  <14> Aspiranterna (1998) {Rätt sida gränsen (#1.2)}  (as Steve Abou-Bakre Aalam)  [Cred]  <14> Gomorron (1992) {Om filmen '9 millimeter'}  [Himself - regisör/Rico] Gomorron (1992) {Om filmen 'Gangster'}  [Himself] Para§raf 9 (2003) {(#1.3)}  [Maher el Sahidi]  <9>
Aalami;Romancero marroquí (1939)  [El esposo]
Aalami, Ali Reza;Shenasayi (1987)
Aalami, Arash;Ansoo-ye ayene (1997)  <7>
Aaland, Craig;Angel City (2006)  [Lars]
Aalbeck, Freddy;Hans Brinker (1969) (TV)  [Judge]  <19>
Aalben, Mark;The Green Marker Scare (2012)
Aalbers, Chris;Pownews (2010) {(#1.109)}  [Himself]  <19>
Aalbers, Karel;Barend en Van Dorp (1990) {(2005-05-02)}  [Himself - Oud-voorzitter Vitesse]  <4>
Aalbersberg, Pieter-Jaap;Eva Jinek op zondag (2011) {(#1.19)}  [Himself - Korpschef Amsterdam]  <2> Knevel & van den Brink (2007) {(#7.53)}  (as Pieter Jaap Aalbersberg)  [Himself - Hoofdcommissaris Politie Amsterdam]  <4> Knevel & van den Brink (2007) {(#9.18)}  (voice)  [Himself - Vanuit Oekraïne]  <9> Pauw & Witteman (2006) {(#7.143)}  [Himself - Politiechef Amsterdam]  <10> Pauw (2014) {(#1.51)}  [Himself]  <4>
Aalberts, Jan;Barend en Van Dorp (1990) {(2003-12-16)}  [Himself - Zakenman]  <5>
Aalbregise, George;Lovers, Liars and Thieves (1997)  [Thug #3]  <35>
Aalbæk Jensen, Niels;Pink Prison (1999) (V)  [Taxi Driver]  <10> Søskende (2003) {(#1.3)}  [Himself]
Aalbæk-Nielsen, Kai;Grænseland (1999) {Den største kærlighed (#1.7)}  [Himself - Historian]
Aalderink, Henk;Pauw & Witteman (2006) {(#7.147)}  [Himself - Burgemeester Bronckhorst]  <8>
Aalderks, Adam;Ashby (2015)  [Valchek]  <5> Blue (2015/I)  [Andrew] C.I.G.A.R. (2014)  [Vito] Curve Ball (2015)  [Sam] Force (2015) (TV)  [Leonid Machtchenko] Nightstalking (2014)  [Jeff] Bloodlands (2014) {Signal Mountain Murders (#1.3)}  [Kenneth] Born Again Virgin (2015) {No New Friends (#1.2)}  [Frank] Hap and Leonard (2015) {(#1.6)}  [Campaign Guy]  <5> Hindsight (2015) {I Never... (#1.3)}  [Personal Trainer]  <21> NCIS: New Orleans (2014) {Stolen Valor (#1.10)}  [Zach Chase]  <17> Rectify (2013) {Hoorah (#3.1)}  [Sheriff's Deputy]  <20>
Aalders, Carlo;RTL Autovisie (2014) {(#1.2)}  [Himself - Ferrari F430 Owner]
Aalders, Gerard;Barend en Van Dorp (1990) {(2003-10-20)}  [Himself - Schrijver]  <3> Barend en Van Dorp (1990) {(2004-12-14)}  [Himself - Historicus/Medewerker NIOD]  <6> Eén op één (2014) {(#1.38)}  [Himself - Historicus]  <2>
Aalders, Mick;The Father, Son and the Holy Spirit (2013)  [Bodyguard]
Aalders, Roderick;Shownieuws (2003) {(2008-02-28)}  [Himself]  <7>
Aalgaard, Erik;Her Minor Thing (2005)  (uncredited)  [News Guy]
Aalholm, Karsten;Musik&Fis (1994) (V)  [Himself - Musician (guitarist)]
Aalholt, Preben;Carlo & Ester (1994)  [Vicar]  <11> Himmelstigen (1997)  [Himself]
Aali-Taleb, Suilma;Superdupla (2008)  [Himself - Orquesta]
Aalija;Shaheed (1965)  <37>
Aaliste, Emil;Dimension (2013)  [The Coworker]
Aallou, Hassan;Retorno a Hansala (2008)  [Mecánico taller]  <29>
Aalten, Evert;Vivere (2007)  [Bandmember - Keyboards]  <10>
Aaltio, Kari;Rikostarinoita Suomesta (2001) {Operaatio jalka/Vankilapako (#5.10)}  [Himself - Detective Sergeant]
Aaltio, Taisto;Dostojevskin galleria (1983) (TV)  [Kenraali Jepantsin]
Aalto, Ahti;Kovasikajuttu (2012)  [Himself]
Aalto, Alvar;Alvar Aalto (1972)  [Himself]  <1> Alvar Aalto, tekniikka ja luonto (1987) (TV)  [Himself] Itsenäisyyspäivän vastaanotto Tasavallan presidentin linnassa (1967) (TV)  [Himself]  <7> Lappi rakentaa (1946)  [Himself]  <5> Suomen talvisota (1967)  [Himself] Uudistuva pääkaupunkimme (1962) (TV)  [Himself]
Aalto, Ashprihanal Pekka;Kuuden päivän juoksu (2013)  [Himself]
Aalto, Davin;Compadres (2006)  [Adam]
